country,region,year,co2_emissions_capita,gdp_capita,lifeexpectancy,population
Aruba,Latin America & Caribbean ,1986,2.86831939212055,15669.6160398263,73.262,62644
Aruba,Latin America & Caribbean ,1987,7.23519803341258,18427.6115299095,73.325,61833
Aruba,Latin America & Caribbean ,1988,10.0261792105306,22134.0172712515,73.378,61079
Aruba,Latin America & Caribbean ,1989,10.6347325992922,24837.9509579621,73.425,61032
Aruba,Latin America & Caribbean ,1990,7.84744726383369,25357.7869437251,73.468,62149
Aruba,Latin America & Caribbean ,1991,8.22808022035839,26329.3131412118,73.509,64622
Aruba,Latin America & Caribbean ,1992,7.89989008573313,26401.968740042,73.544,68235
Aruba,Latin America & Caribbean ,1993,8.95204402515723,26663.2077602359,73.573,72504
Aruba,Latin America & Caribbean ,1994,8.60573663624511,27272.3100411519,73.598,76700
Aruba,Latin America & Caribbean ,1995,8.81095313978387,26705.1813209964,73.622,80324
Aruba,Latin America & Caribbean ,1996,8.72675480769231,26087.7756610939,73.646,83200
Aruba,Latin America & Caribbean ,1997,8.88309089419667,27190.5014747821,73.671,85451
Aruba,Latin America & Caribbean ,1998,9.24344328975561,27151.9237278694,73.7,87277
Aruba,Latin America & Caribbean ,1999,9.10518510196057,26954.404887031,73.738,89005
Aruba,Latin America & Caribbean ,2000,26.1948752380219,28417.3842120132,73.787,90853
Aruba,Latin America & Caribbean ,2001,25.9340244138733,26966.0548644166,73.853,92898
Aruba,Latin America & Caribbean ,2002,25.6711617820448,25508.3027198476,73.937,94992
Aruba,Latin America & Caribbean ,2003,26.4204520857169,25469.2876015726,74.038,97017
Aruba,Latin America & Caribbean ,2004,26.5172934158421,27005.5294296216,74.156,98737
Aruba,Latin America & Caribbean ,2005,27.200707780588,26979.8853984373,74.287,100031
Aruba,Latin America & Caribbean ,2006,26.9477259654482,27046.224230202,74.429,100834
Aruba,Latin America & Caribbean ,2007,27.8950228211258,27427.5785719272,74.576,101222
Aruba,Latin America & Caribbean ,2008,26.2295526746779,27365.9311941508,74.725,101358
Aruba,Latin America & Caribbean ,2009,25.9153220639692,24463.6921995023,74.872,101455
Aruba,Latin America & Caribbean ,2010,24.6705288731078,23512.6025956397,75.017,101669
Aruba,Latin America & Caribbean ,2011,24.5075162181761,24233.0010815022,75.158,102046
Aruba,Latin America & Caribbean ,2012,13.1577223088924,23781.2572983852,75.299,102560
Aruba,Latin America & Caribbean ,2013,8.35356100776471,24635.764947531,75.441,103159
Aruba,Latin America & Caribbean ,2014,8.41006417792511,24563.2343250816,75.583,103774
Aruba,Latin America & Caribbean ,2015,8.61037367861148,25822.2513745534,75.725,104341
Aruba,Latin America & Caribbean ,2016,8.42691090090777,26231.0266768348,75.868,104872
Aruba,Latin America & Caribbean ,2017,NA,26630.2052807325,76.01,105366
Afghanistan,South Asia,2002,0.0473773238699389,330.303552908057,56.784,22600770
Afghanistan,South Asia,2003,0.0512555893742253,343.080889714587,57.271,23680871
Afghanistan,South Asia,2004,0.0370753312494308,333.216684486798,57.772,24726684
Afghanistan,South Asia,2005,0.0517439645638815,357.234719908026,58.29,25654277
Afghanistan,South Asia,2006,0.0624275315344817,365.284494951006,58.826,26433049
Afghanistan,South Asia,2007,0.0838928056625891,405.548979051796,59.375,27100536
Afghanistan,South Asia,2008,0.151720912092499,412.014286663305,59.93,27722276
Afghanistan,South Asia,2009,0.238398541311049,488.300250990155,60.484,28394813
Afghanistan,South Asia,2010,0.289987629819143,543.303041863931,61.028,29185507
Afghanistan,South Asia,2011,0.406424217113203,528.736648057768,61.553,30117413
Afghanistan,South Asia,2012,0.345148782903553,576.190125450699,62.054,31161376
Afghanistan,South Asia,2013,0.280454641055391,587.565090150176,62.525,32269589
Afghanistan,South Asia,2014,0.253727945460333,583.656192833121,62.966,33370794
Afghanistan,South Asia,2015,0.262555710891417,574.184114271258,63.377,34413603
Afghanistan,South Asia,2016,0.245101422350223,571.073774523561,63.763,35383128
Afghanistan,South Asia,2017,NA,571.542505760778,64.13,36296400
Afghanistan,South Asia,2018,NA,568.342871125336,64.486,37172386
Afghanistan,South Asia,2019,NA,571.466641151464,NA,38041754
Angola,Sub-Saharan Africa ,1980,0.640966402195152,3179.53912630862,44.178,8341289
Angola,Sub-Saharan Africa ,1981,0.611135119645444,2934.3983409449,44.404,8640446
Angola,Sub-Saharan Africa ,1982,0.519354626128818,2831.97274724242,44.611,8952950
Angola,Sub-Saharan Africa ,1983,0.551348574103997,2847.50235465173,44.799,9278096
Angola,Sub-Saharan Africa ,1984,0.520982856139637,2912.665762525,44.966,9614754
Angola,Sub-Saharan Africa ,1985,0.47190277210483,2909.52952662284,45.107,9961997
Angola,Sub-Saharan Africa ,1986,0.451618882781396,2890.01561405532,45.213,10320111
Angola,Sub-Saharan Africa ,1987,0.544085132259045,2904.1301513259,45.283,10689250
Angola,Sub-Saharan Africa ,1988,0.463508296402709,2976.63662969303,45.317,11068050
Angola,Sub-Saharan Africa ,1989,0.437295461971892,2877.33890185971,45.324,11454777
Angola,Sub-Saharan Africa ,1990,0.431743614699926,2685.77913860722,45.306,11848386
Angola,Sub-Saharan Africa ,1991,0.41553083007202,2623.71454945574,45.271,12248901
Angola,Sub-Saharan Africa ,1992,0.410522931864339,2390.80826970707,45.23,12657366
Angola,Sub-Saharan Africa ,1993,0.441721097947702,1759.35347818949,45.201,13075049
Angola,Sub-Saharan Africa ,1994,0.288119067989055,1726.31605022296,45.201,13503747
Angola,Sub-Saharan Africa ,1995,0.7870325472424,1922.41659740388,45.246,13945206
Angola,Sub-Saharan Africa ,1996,0.726233460982052,2113.75121066285,45.35,14400719
Angola,Sub-Saharan Africa ,1997,0.496361244979515,2195.71932106392,45.519,14871570
Angola,Sub-Saharan Africa ,1998,0.475815159521396,2225.68482490823,45.763,15359601
Angola,Sub-Saharan Africa ,1999,0.57708291408973,2201.52992280828,46.093,15866869
Angola,Sub-Saharan Africa ,2000,0.581961496322796,2195.63104363877,46.522,16395473
Angola,Sub-Saharan Africa ,2001,0.574316054293958,2213.68162733811,47.059,16945753
Angola,Sub-Saharan Africa ,2002,0.722958874715979,2433.80490448768,47.702,17519417
Angola,Sub-Saharan Africa ,2003,0.500225395509936,2423.29450431622,48.44,18121479
Angola,Sub-Saharan Africa ,2004,1.0018781174791,2597.45754126006,49.263,18758145
Angola,Sub-Saharan Africa ,2005,0.985736354999963,2883.97881768389,50.165,19433602
Angola,Sub-Saharan Africa ,2006,1.10501902714063,3102.65158022739,51.143,20149901
Angola,Sub-Saharan Africa ,2007,1.20313399963445,3409.50417848833,52.177,20905363
Angola,Sub-Saharan Africa ,2008,1.18500049364771,3652.15426594294,53.243,21695634
Angola,Sub-Saharan Africa ,2009,1.23442507446718,3549.57860280612,54.311,22514281
Angola,Sub-Saharan Africa ,2010,1.24409153765549,3587.88379824396,55.35,23356246
Angola,Sub-Saharan Africa ,2011,1.26282461903084,3579.96008145585,56.33,24220661
Angola,Sub-Saharan Africa ,2012,1.36118105470339,3748.44944492387,57.236,25107931
Angola,Sub-Saharan Africa ,2013,1.29507537348486,3796.88262179845,58.054,26015780
Angola,Sub-Saharan Africa ,2014,1.66474073594027,3843.19824090134,58.776,26941779
Angola,Sub-Saharan Africa ,2015,1.24024546214599,3748.32062295152,59.398,27884381
Angola,Sub-Saharan Africa ,2016,1.20286057885999,3530.30942248245,59.925,28842484
Angola,Sub-Saharan Africa ,2017,NA,3409.92928470159,60.379,29816748
Angola,Sub-Saharan Africa ,2018,NA,3233.9070176255,60.782,30809762
Angola,Sub-Saharan Africa ,2019,NA,3103.49604528244,NA,31825295
Albania,Europe & Central Asia,1980,1.93505831031996,1992.29193141135,70.208,2671997
Albania,Europe & Central Asia,1981,2.69302391440235,2064.98366201803,70.416,2726056
Albania,Europe & Central Asia,1982,2.62485678513424,2081.41762946956,70.635,2784278
Albania,Europe & Central Asia,1983,2.6832399189862,2060.25372979627,70.876,2843960
Albania,Europe & Central Asia,1984,2.69429137362284,1992.11089530965,71.134,2904429
Albania,Europe & Central Asia,1985,2.65801538201043,1986.32191372468,71.388,2964762
Albania,Europe & Central Asia,1986,2.66535622064854,2058.12060889689,71.605,3022635
Albania,Europe & Central Asia,1987,2.41406081518223,2001.53265726801,71.76,3083605
Albania,Europe & Central Asia,1988,2.33159853051997,1936.2322073095,71.843,3142336
Albania,Europe & Central Asia,1989,2.78324307461439,2070.28951506789,71.86,3227943
Albania,Europe & Central Asia,1990,1.67810665434977,1838.66748471688,71.836,3286542
Albania,Europe & Central Asia,1991,1.31221260013653,1331.80531341432,71.803,3266790
Albania,Europe & Central Asia,1992,0.774724910911141,1243.60582446625,71.802,3247039
Albania,Europe & Central Asia,1993,0.723790291969695,1370.82607057959,71.86,3227287
Albania,Europe & Central Asia,1994,0.600203707768206,1493.78590178292,71.992,3207536
Albania,Europe & Central Asia,1995,0.654537133005248,1703.28184475531,72.205,3187784
Albania,Europe & Central Asia,1996,0.636625312930768,1869.86587314624,72.495,3168033
Albania,Europe & Central Asia,1997,0.490365059535664,1676.12710708271,72.838,3148281
Albania,Europe & Central Asia,1998,0.560271437384331,1835.64668130129,73.208,3128530
Albania,Europe & Central Asia,1999,0.960164411868586,2085.42599716821,73.587,3108778
Albania,Europe & Central Asia,2000,0.978174680894664,2244.62463172571,73.955,3089027
Albania,Europe & Central Asia,2001,1.05330417594038,2453.62441365203,74.288,3060173
Albania,Europe & Central Asia,2002,1.22954070946998,2572.72143217486,74.579,3051010
Albania,Europe & Central Asia,2003,1.4126971959616,2725.17138911963,74.828,3039616
Albania,Europe & Central Asia,2004,1.37621273504355,2887.37034243453,75.039,3026939
Albania,Europe & Central Asia,2005,1.41249821101668,3062.67388299547,75.228,3011487
Albania,Europe & Central Asia,2006,1.30257636722163,3263.90171311883,75.423,2992547
Albania,Europe & Central Asia,2007,1.32233485532238,3485.32240934607,75.646,2970017
Albania,Europe & Central Asia,2008,1.48431113888781,3775.58131429173,75.912,2947314
Albania,Europe & Central Asia,2009,1.49560019934969,3928.45039149695,76.221,2927519
Albania,Europe & Central Asia,2010,1.57857358391855,4094.3503344202,76.562,2913021
Albania,Europe & Central Asia,2011,1.80371472482914,4209.87480089435,76.914,2905195
Albania,Europe & Central Asia,2012,1.6979655571764,4276.60790388367,77.252,2900401
Albania,Europe & Central Asia,2013,1.69727939561161,4327.37995998728,77.554,2895092
Albania,Europe & Central Asia,2014,1.90006971019389,4413.29689127908,77.813,2889104
