,lane_num_shift,lanechange,x
118,5,left turn,0
145,4,left turn,40
208,3,left turn,150
238,2,left turn,-100
796,3,left turn,-100
895,2,left turn,150
1016,5,left turn,0
1081,4,right turn,110
1281,2,right turn,-100
1337,3,right turn,40
1362,4,right turn,110
1663,3,left turn,-100
1885,2,right turn,-100
2140,3,right turn,40
2168,4,right turn,110
2516,2,right turn,-100
2571,3,right turn,40
2598,4,right turn,110
2990,4,right turn,110
3199,2,right turn,-50
3237,3,right turn,40
3268,4,right turn,110
3488,5,left turn,0
3535,4,left turn,60
4141,4,left turn,40
4217,3,left turn,-100
4316,2,left turn,180
4523,1,right turn,-100
4745,5,left turn,0
4810,4,right turn,110
5008,2,right turn,-100
5129,3,left turn,-100
5330,2,right turn,-100
5386,3,right turn,40
5419,4,right turn,110
5586,3,right turn,40
5614,4,right turn,110
5911,3,left turn,-100
6111,2,right turn,-100
6241,3,left turn,80
6291,4,right turn,110
6463,2,right turn,0
6480,3,right turn,40
6505,4,right turn,110
6659,3,right turn,40
6685,4,right turn,110
6843,3,right turn,40
6869,4,right turn,110
7069,5,left turn,0
7100,4,left turn,40
7621,1,right turn,-100
7824,5,left turn,0
7889,4,right turn,110
8064,1,right turn,-100
8188,2,left turn,-100
8342,3,right turn,40
8368,4,right turn,110
8668,2,right turn,-100
8767,3,left turn,-100
8988,2,right turn,-100
9043,3,right turn,40
9070,4,right turn,110
9646,2,right turn,10
9658,3,right turn,40
9685,4,right turn,110
9844,3,right turn,40
9871,4,right turn,110
10077,5,left turn,0
10099,4,left turn,30
10667,1,right turn,-100
10889,2,left turn,-100
11112,1,right turn,150
11512,3,left turn,40
11694,4,right turn,110
12098,2,right turn,-100
12219,3,left turn,-100
12382,3,right turn,40
12409,4,right turn,110
12566,3,right turn,40
12594,4,right turn,110
12757,3,right turn,40
12787,4,right turn,110
12949,3,right turn,40
12976,4,right turn,110
13138,3,right turn,40
13166,4,right turn,110
13356,5,left turn,0
13420,4,right turn,110
13705,5,left turn,0
13733,4,left turn,50
13766,3,left turn,130
13795,2,left turn,-100
14202,5,left turn,0
14266,4,right turn,110
14473,1,right turn,-100
14716,2,left turn,-100
14824,4,right turn,110
15032,2,left turn,60
15081,1,right turn,-100
15358,2,right turn,-100
15413,3,right turn,40
15438,4,right turn,110
15562,3,right turn,40
15590,4,right turn,110
16189,3,right turn,40
16215,4,right turn,110
16413,2,right turn,-100
16534,3,left turn,-100
16633,2,right turn,-100
16965,5,left turn,0
16993,4,left turn,50
17039,3,left turn,140
17064,2,left turn,-100
17602,1,right turn,-100
17809,2,left turn,-100
17910,3,right turn,40
17936,4,right turn,110
18142,2,left turn,0
18211,1,right turn,-100
18508,2,right turn,-100
18684,3,right turn,40
18711,4,right turn,110
18917,2,left turn,-100
19038,1,right turn,-100
19139,2,right turn,-70
19182,3,right turn,40
19209,4,right turn,110
19412,2,right turn,-100
19467,3,right turn,40
19494,4,right turn,110
19652,3,right turn,40
19678,4,right turn,110
19881,5,left turn,0
19946,4,right turn,110
20458,5,left turn,0
20483,4,left turn,40
20565,3,left turn,190
20574,2,left turn,150
20958,1,right turn,-90
21156,2,left turn,-100
21467,1,right turn,-100
21685,5,left turn,0
21750,4,right turn,110
21923,5,left turn,0
21949,4,left turn,40
22026,3,left turn,-100
22404,3,left turn,-100
22504,2,right turn,-100
22835,3,right turn,40
22861,4,right turn,110
23065,2,right turn,-100
23164,3,left turn,50
23234,4,right turn,110
23375,3,right turn,40
23403,4,right turn,110
23610,2,right turn,-100
23665,3,right turn,40
23691,4,right turn,110
23852,3,right turn,40
23880,4,right turn,110
24214,5,left turn,0
24243,4,left turn,40
24733,1,right turn,80
24889,5,left turn,0
24916,4,left turn,40
25190,1,right turn,-100
25411,2,right turn,-100
25633,5,left turn,0
25698,4,right turn,110
25897,1,right turn,-100
26202,3,left turn,-100
26316,4,right turn,110
26478,3,right turn,40
26506,4,right turn,110
26715,2,right turn,-100
26770,3,right turn,40
26797,4,right turn,110
27138,1,right turn,-30
27216,2,right turn,-10
27236,3,right turn,40
27262,4,right turn,110
27421,3,right turn,40
27448,4,right turn,110
27610,3,right turn,40
27643,4,right turn,110
27850,5,left turn,0
27877,4,left turn,50
27925,3,left turn,140
27953,2,left turn,60
28393,1,right turn,-100
28592,2,left turn,-100
28790,1,right turn,-100
29162,5,left turn,0
29226,4,right turn,110
29469,3,right turn,40
29496,4,right turn,110
29702,2,left turn,-100
29900,3,left turn,-100
29999,2,right turn,-100
30054,3,right turn,40
30081,4,right turn,110
30269,2,right turn,-20
30292,3,right turn,40
30319,4,right turn,110
30478,3,right turn,40
30504,4,right turn,110
30711,2,right turn,-100
30766,3,right turn,40
30793,4,right turn,110
30952,3,right turn,40
30979,4,right turn,110
31292,5,left turn,0
31322,4,left turn,50
31752,1,right turn,-20
31926,2,left turn,-100
32225,1,right turn,-100
32427,5,left turn,0
32493,4,right turn,110
33085,3,right turn,40
33112,4,right turn,110
33368,5,left turn,0
33394,4,left turn,40
33526,3,right turn,40
33554,4,right turn,110
33692,3,right turn,40
33724,4,right turn,110
33954,3,left turn,120
34099,3,right turn,40
34126,4,right turn,110
34309,1,right turn,-100
34410,2,right turn,-80
34460,3,right turn,40
34486,4,right turn,110
34646,3,right turn,40
34673,4,right turn,110
